amba_decomposed_arbiter_9.tlsf.ehoa; synt; tl-n; 0.003142; 1; 38567; 542587; 4; 0.003107; -1
amba_decomposed_arbiter_9.tlsf.ehoa; synt; rtl-n; 0.008602; 1; 38567; 542587; 4; 0.008577; -1
amba_decomposed_arbiter_9.tlsf.ehoa; synt; ortl-n; 0.005959; 1; 38567; 542587; 4; 0.005935; -1
amba_decomposed_arbiter_9.tlsf.ehoa; synt; npp-n; 0.001598; 1; 38567; 542587; 4; 0.001574; -1
amba_decomposed_arbiter_9.tlsf.ehoa; synt; zlk-n; 0.118649; 1; 38567; 542587; 4; 0.118613; 5
amba_decomposed_arbiter.tlsf.ehoa; synt; fpi-n; 0.121164; 1; 2732; 20963; 4; 0.121130; 35
amba_decomposed_arbiter.tlsf.ehoa; synt; fpj-n; 0.001502; 1; 2732; 20963; 4; 0.001469; 20
amba_decomposed_arbiter.tlsf.ehoa; synt; tl-n; 0.000437; 1; 2732; 20963; 4; 0.000428; -1
amba_decomposed_arbiter.tlsf.ehoa; synt; rtl-n; 0.003673; 1; 2732; 20963; 4; 0.003636; -1
amba_decomposed_arbiter.tlsf.ehoa; synt; ortl-n; 0.005145; 1; 2732; 20963; 4; 0.005110; -1
amba_decomposed_arbiter.tlsf.ehoa; synt; npp-n; 0.001391; 1; 2732; 20963; 4; 0.001355; -1
amba_decomposed_arbiter.tlsf.ehoa; synt; zlk-n; 0.123533; 1; 2732; 20963; 4; 0.123513; 12
amba_decomposed_decode.tlsf.ehoa; synt; fpi-n; 0.001216; 1; 7; 9; 3; 0.001194; 3
amba_decomposed_decode.tlsf.ehoa; synt; fpj-n; 0.000071; 1; 7; 9; 3; 0.000041; 2
amba_decomposed_decode.tlsf.ehoa; synt; tl-n; 0.000078; 1; 7; 9; 3; 0.000049; -1
amba_decomposed_decode.tlsf.ehoa; synt; rtl-n; 0.000084; 1; 7; 9; 3; 0.000055; -1
amba_decomposed_decode.tlsf.ehoa; synt; ortl-n; 0.000090; 1; 7; 9; 3; 0.000061; -1
amba_decomposed_decode.tlsf.ehoa; synt; npp-n; 0.000034; 1; 7; 9; 3; 0.000024; -1
amba_decomposed_decode.tlsf.ehoa; synt; zlk-n; 0.003403; 1; 7; 9; 3; 0.003382; 3
amba_decomposed_encode_10.tlsf.ehoa; synt; fpi-n; 0.124285; 1; 234; 593; 3; 0.124268; 10
amba_decomposed_encode_10.tlsf.ehoa; synt; fpj-n; 0.000125; 1; 234; 593; 3; 0.000092; 6
amba_decomposed_encode_10.tlsf.ehoa; synt; tl-n; 0.000169; 1; 234; 593; 3; 0.000114; -1
amba_decomposed_encode_10.tlsf.ehoa; synt; rtl-n; 0.000169; 1; 234; 593; 3; 0.000138; -1
amba_decomposed_encode_10.tlsf.ehoa; synt; ortl-n; 0.000171; 1; 234; 593; 3; 0.000140; -1
amba_decomposed_encode_10.tlsf.ehoa; synt; npp-n; 0.000120; 1; 234; 593; 3; 0.000088; -1
